Title,Company,Location,Tech
Citi Consumer Advanced Data & Analytics Associate,Citi,"Charlotte, NC",sas 
"Software Engineer, Data Scientist,",GroundMetrics,"Bannockburn, IL",
Data Scientist,Vettery,"Middleton, WI",python 
Data Scientist,MealPal,"Birmingham, AL 35223",sql 
Data Scientist,Rubicon Project,"Bannockburn, IL",java 
Data Scientist,C.H. Robinson,"Chicago, IL 60602 (Loop area)",r 
"Data Scientist, Fidelity Institutional",Fidelity Investments,"Charlotte, NC",python 
Eicoff - Data Scientist,Ogilvy,"Dallas, TX",sql 
Data Scientist,Naval Air Warfare Center Training Systems Division,"Buffalo, NY 14203",linux 
Data Scientist | Uber for Business (NYC),Uber,"Mason, OH 45040",sql 
Machine Learning Engineering Intern,EY,"Albuquerque, NM 87114",python 
Data Analyst Intern,UL,"Middleton, WI",cloud 
Data Scientist - Summer Intern - University Students,McKinsey & Company,"Chicago, IL 60602 (Loop area)",r 
Research Intern - Machine Teaching,Microsoft,"Buffalo, NY 14203",
Data Scientist (Forecasting),Advantine Technologies,"Bannockburn, IL",r 
ASSISTANT DIRECTOR of DATA SCIENCE,AVMA,"Dallas, TX",
"Data Science Intern - Duluth, GA",WestRock,"Albuquerque, NM 87114",python 
Data Scientist III,Bio-Rad,"Middleton, WI",r 
ALAM Data Scientist,Air Liquide,"Bannockburn, IL",r 
"Data Scientist, Apple Pay Analytics",Apple,"Chicago, IL 60602 (Loop area)",sql 
Data Scientist (NYC),"Attorney General, Office of the","Birmingham, AL 35223",
REMOTE Data Scientist Opening- Spark and Scala Required,"Executec Recruiters, Inc.","Dallas, TX",
Data Scientist - Machine Learning,Gemological Institute of America,"Mason, OH 45040",
Data Scientist,Dexcom,"Middleton, WI",r 
Data Scientist,Quest Diagnostics,"Mason, OH 45040",sas 
Senior Data Scientist,Label Insight,"Dallas, TX",r 
Data Scientist,Slync,"Bannockburn, IL",ai 
Data Scientist,Motiion Inc,"Buffalo, NY 14203",
"Data Scientist and Software Engineer, Python/R, Java",New Relic,"Bannockburn, IL",docker 
Data Science Team Lead,Grubhub,"Buffalo, NY 14203",java 
Data Scientist - Machine Learning,GIA,"Middleton, WI",
Data Scientist,AllianceData,"Chicago, IL 60602 (Loop area)",
"Sr Data Scientist, Analytics and Advertising",PR MANAGEMENT,"Mason, OH 45040",python 
Data Scientist,Blueshift,"Dallas, TX",ai 
Data Scientist,The National Registry of EMTs,"Bannockburn, IL",sas 
2019 University Graduate - Data Scientist I - Core Product,Uber,"Buffalo, NY 14203",sql 
Data Scientist,SAP,"Middleton, WI",tableau 
Dickies - Data Scientist,VF Corporation,"Chicago, IL 60602 (Loop area)",
Data Scientist,WellCare,"Bannockburn, IL",
Data Scientist II,"ACT, Inc.","Buffalo, NY 14203",python 
"Sr. Data Scientist, Sponsored Products","Amazon.com Services, Inc.","Albuquerque, NM 87114",python 
Data Scientist,Conversion Logic,"Middleton, WI",python 
"Data Scientist, RBC Amplify - 2019",RBC,"Buffalo, NY 14203",python 
Data Scientist,Hallmark,"Bannockburn, IL",sas 
Finance Data Scientist,IBM,"Chicago, IL 60602 (Loop area)",
Data Scientist/ Business Intelligence Engineer,Homesite Insurance,"Dallas, TX",
Data Scientist - AI & ML,Pivotal Commware,"Middleton, WI",ai 
Machine Learning Scientist,Microsoft,"Albuquerque, NM 87114",pytorch pytorch 
Data Scientist / Científico de Datos,Cerebri AI,"Birmingham, AL 35223",c/c++
Modeler/Data Scientist,Metabiota,"Bannockburn, IL",cloud 
Data Scientist - Supply Chain Analytics,HelloFresh,"Chicago, IL 60602 (Loop area)",r 
Data Scientist,Kitcheck,"Buffalo, NY 14203",r 
Data Scientist,Ascensia Diabetes Care,"Valhalla, NY 10595",python 
Data Scientist - Amazon Restaurants,"Amazon.com Services, Inc.","Chicago, IL 60602 (Loop area)",python 
Data Scientist - Statistical Inference,Optimizely,"Chicago, IL 60602 (Loop area)",python 
Data Scientist/Architect,Serry Systems,"Birmingham, AL 35223",r 
Data Scientist - Ingenuity,McKinsey & Company,"Chicago, IL 60602 (Loop area)",sas 
Quantitative Commercial Analyst / Data Science Analyst,Mattel,"Birmingham, AL 35223",r 
